scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,3.736964762210846,191.4416365623474,0.0028786957263946533,520.382318019867,343.14023065567017,0.048085689544677734,491.1603086590767,325.88516426086426,0.998234748840332,518.8504400253296,331.7078627049923,0.9715092778205872
1,492.5370151400566,331.3720124363899,0.002261132001876831,519.798948764801,343.97914147377014,0.08824512362480164,491.2321653366089,326.6230537891388,0.9969006776809692,518.8748474121094,331.5933408141136,0.9301655888557434
2,492.3873127400875,331.2772353887558,0.002566993236541748,519.8250961303711,346.5046408176422,0.2058568298816681,490.77274227142334,326.64256954193115,0.9968806505203247,518.8742272853851,332.32245549559593,0.8718563318252563
3,492.27916380763054,330.9923038482666,0.002664238214492798,521.1271500587463,346.8663481473923,0.10429587960243225,490.41985988616943,326.19666504859924,0.998020350933075,519.161648273468,332.22569762170315,0.9143656492233276
4,492.45357862114906,331.12137043476105,0.002164870500564575,520.2913782596588,346.81874334812164,0.053858041763305664,491.0579481124878,326.40222930908203,0.9982841610908508,518.7068445682526,331.51006799936295,0.9573931097984314
5,492.4271198809147,331.0723358988762,0.0016873478889465332,519.828248500824,347.0376141667366,0.07453227043151855,491.39235413074493,325.50300991535187,0.9990298748016357,519.0739903450012,332.1681599467993,0.9331737756729126
6,492.36510556936264,331.34927713871,0.00160256028175354,517.0740282535553,345.4176812171936,0.1321590542793274,491.10570710897446,325.7039097547531,0.9984930157661438,518.2912020683289,331.80614790320396,0.9284822344779968
7,492.28494942188263,331.261245906353,0.0018121898174285889,520.0752365589142,343.98553705215454,0.06888556480407715,491.0362045764923,326.3114881515503,0.9987822771072388,518.6901338100433,331.67281782627106,0.9106121063232422
8,492.329323887825,331.4192252755165,0.001301586627960205,519.4846138954163,344.46057319641113,0.13250353932380676,491.21723610162735,326.5536527633667,0.9976949691772461,518.6901626586914,331.6728713810444,0.749179482460022
9,492.21180279552937,331.2306999564171,0.0016036033630371094,519.5645713806152,344.55842876434326,0.1245976984500885,491.27459144592285,326.8009419441223,0.9963847398757935,519.1279618740082,331.94699835404754,0.7444236278533936
10,492.9166904091835,331.4894313812256,0.0010701119899749756,519.5969338417053,343.9950592517853,0.11659136414527893,492.3331196010113,327.0809392929077,0.9965050220489502,519.056343793869,331.47062504291534,0.8632709980010986
11,492.6542565226555,331.2736541032791,0.0010292530059814453,520.1338124275208,344.11113929748535,0.040676385164260864,491.9514181762934,326.51675367355347,0.9964389801025391,518.7956840991974,331.5817593932152,0.954929769039154
12,493.03038716316223,331.08157765865326,0.0011161565780639648,519.9286522865295,343.9319224357605,0.15499547123908997,492.933286011219,325.49566304683685,0.9973058700561523,519.1626460552216,331.7926839888096,0.915543794631958
13,493.4311900138855,331.4859452843666,0.0008304119110107422,520.2889013290405,343.58767080307007,0.09642645716667175,493.1018238067627,326.2306180000305,0.9916284084320068,518.870935678482,332.3820032477379,0.9422861337661743
14,486.95309495925903,333.4357521533966,0.0006981790065765381,517.2720512151718,343.5421042442322,0.15258309245109558,492.30106687545776,326.1819863319397,0.9890956878662109,518.4425201416016,331.4255376458168,0.9573626518249512
15,493.082364320755,331.40389001369476,0.0007882416248321533,520.3147683143616,342.8283259868622,0.1046840250492096,492.4127442538738,326.16270995140076,0.9956891536712646,518.3968930244446,331.29857754707336,0.9557996988296509
16,486.59718012809753,333.37039065361023,0.0007679760456085205,519.7554516792297,343.16151332855225,0.15219807624816895,492.19403836131096,325.95979046821594,0.9916046857833862,518.2639701366425,330.4686633348465,0.9618460536003113
17,492.83307379484177,330.94707334041595,0.0006521344184875488,519.9365057945251,342.792188167572,0.12542444467544556,491.82434579730034,325.8502801656723,0.9936764240264893,518.2355515956879,330.34287774562836,0.9779438972473145
18,492.35701674222946,330.8824551105499,0.0006332099437713623,520.2689054012299,342.7779417037964,0.17175030708312988,490.79487681388855,325.5514175891876,0.9621371626853943,518.0395596027374,331.0937923192978,0.959811806678772
19,492.3393823504448,330.8002837896347,0.0008261799812316895,520.1255013942719,342.9439356327057,0.15412753820419312,491.25419759750366,325.60073733329773,0.9723345041275024,517.8312504291534,331.27789855003357,0.9208340644836426
