scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,0.20887041091918945,25.92538547515869,1.3709068298339844e-06,0.1685328483581543,3.282625198364258,1.665949821472168e-05,1.4415535926818848,5.570799231529236,1.7642974853515625e-05
1,441.25809478759766,219.958829395473,1.0132789611816406e-06,350.98069190979004,2.992430090904236,5.960464477539062e-07,4.9786272048950195,8.375457286834717,5.960464477539062e-07
2,507.29383367300034,4.7110061049461365,5.960464477539062e-07,399.0258991718292,3.00104558467865,5.364418029785156e-07,4.899381875991821,8.428722858428955,6.854534149169922e-07
3,264.42812037467957,244.80584424734116,9.238719940185547e-07,303.01457595825195,2.999857783317566,5.066394805908203e-07,4.901304006576538,8.429125308990479,6.854534149169922e-07
4,296.86920285224915,276.06789799034595,1.1622905731201172e-06,558.9390263557434,3.0063424110412598,5.364418029785156e-07,4.901354193687439,8.428979873657227,6.854534149169922e-07
5,393.31082129478455,340.4945858716965,8.046627044677734e-07,574.954473733902,3.017107605934143,5.364418029785156e-07,4.9013537764549255,8.428980827331543,6.258487701416016e-07
6,185.5689492225647,307.9549932703376,6.854534149169922e-07,574.9481592178345,3.0416802763938904,5.364418029785156e-07,4.90135931968689,8.42898941040039,6.258487701416016e-07
7,331.44848185777664,4.744511187076569,5.364418029785156e-07,447.01112627983093,3.000775456428528,5.662441253662109e-07,4.901359438896179,8.428982734680176,6.854534149169922e-07
8,635.4188389778137,6.18869423866272,5.960464477539062e-07,542.9396421909332,2.9699796438217163,5.066394805908203e-07,4.901354014873505,8.428984642028809,6.258487701416016e-07
9,185.02621698379517,291.96722105517983,1.6391277313232422e-06,287.01203441619873,3.0009424090385437,5.066394805908203e-07,4.9013572335243225,8.428978443145752,6.258487701416016e-07
10,183.99098539352417,291.3350077867508,2.1457672119140625e-06,367.04150915145874,3.0047311186790466,5.364418029785156e-07,4.897659122943878,8.430337905883789,6.258487701416016e-07
