scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,122.4506139755249,296.28078985214233,4.7206878662109375e-05,282.1327637434006,399.38225960731506,2.8014183044433594e-06,457.3525059223175,395.7416035234928,4.8547983169555664e-05
1,122.67314863204956,295.96759843826294,6.851553916931152e-05,281.5637001991272,398.3563916683197,2.5331974029541016e-06,451.0523118376732,398.0418906211853,1.2934207916259766e-05
2,120.7821307182312,295.88927459716797,9.131431579589844e-05,0.7088005542755127,173.54806101322174,2.9802322387695312e-06,450.045973777771,397.5937478542328,3.1501054763793945e-05
3,190.9649908542633,144.9865288734436,4.5925378799438477e-05,282.5750184059143,398.161235332489,3.933906555175781e-06,282.09997975826263,397.6973965167999,1.4483928680419922e-05
4,109.89318513870239,298.39265513420105,1.7315149307250977e-05,0.6231012344360352,172.88234078884125,2.8312206268310547e-06,281.589674949646,396.8845294713974,6.079673767089844e-06
5,190.04803943634033,145.98864078521729,0.00011157989501953125,0.41298890113830566,172.78322517871857,6.0498714447021484e-06,574.0726425647736,173.88850700855255,2.1457672119140625e-06
6,188.44985619187355,146.3089427947998,0.0005025863647460938,0.21797704696655273,173.07288300991058,4.708766937255859e-06,157.01354134082794,170.85434246063232,2.652406692504883e-06
7,190.9229245185852,146.29337072372437,0.000544428825378418,0.40138745307922363,172.99600982666016,5.543231964111328e-06,269.5104486942291,396.11339674144983,4.112720489501953e-06
8,191.19572186470032,147.2296872138977,0.0011667311191558838,0.2118396759033203,172.69085919857025,3.725290298461914e-06,574.2817068099976,173.7981938123703,2.294778823852539e-06
9,190.00344467163086,147.22584581375122,0.0018649101257324219,0.16149592399597168,172.3328255712986,3.3676624298095703e-06,381.1508425474167,173.7910784482956,2.592802047729492e-06
10,190.15046215057373,145.90511655807495,0.0002779066562652588,-2.0809836387634277,2.38194477558136,1.4007091522216797e-06,381.73650908470154,174.04699158668518,1.2516975402832031e-06
